datetime,lvl_cm,temp_C
2024-08-27 12:30:00,811.05,8.711
2024-08-27 13:00:00,811.01,8.578
2024-08-27 13:30:00,810.96,8.438
2024-08-27 14:00:00,811.07,8.312
2024-08-27 14:30:00,810.95,8.173
2024-08-27 15:00:00,810.86,8.054
2024-08-27 15:30:00,810.73,7.933
2024-08-27 16:00:00,810.63,7.903
2024-08-27 16:30:00,810.65,7.923
2024-08-27 17:00:00,810.65,7.957
2024-08-27 17:30:00,810.8,8.017
2024-08-27 18:00:00,811.11,8.196
2024-08-27 18:30:00,811.22,8.315
2024-08-27 19:00:00,811.64,8.741
2024-08-27 19:30:00,811.39,9.502
2024-08-27 20:00:00,811.66,9.914
2024-08-27 20:30:00,811.55,10.41
2024-08-27 21:00:00,811.66,11.131
2024-08-27 21:30:00,811.65,11.847
2024-08-27 22:00:00,811.31,12.42
2024-08-27 22:30:00,811.18,12.766
2024-08-27 23:00:00,810.93,12.771
2024-08-27 23:30:00,810.74,12.728
2024-08-28 00:00:00,810.42,12.613
2024-08-28 00:30:00,810.26,12.556
2024-08-28 01:00:00,810.06,12.48
2024-08-28 01:30:00,809.93,12.401
2024-08-28 02:00:00,809.87,12.314
2024-08-28 02:30:00,809.86,12.256
2024-08-28 03:00:00,809.97,12.205
2024-08-28 03:30:00,810.05,12.117
2024-08-28 04:00:00,810.24,11.996
2024-08-28 04:30:00,810.25,11.894
2024-08-28 05:00:00,810.15,11.757
2024-08-28 05:30:00,810.06,11.605
2024-08-28 06:00:00,809.94,11.457
2024-08-28 06:30:00,809.69,11.299
2024-08-28 07:00:00,809.66,11.143
2024-08-28 07:30:00,809.58,10.964
2024-08-28 08:00:00,809.48,10.816
2024-08-28 08:30:00,809.29,10.661
2024-08-28 09:00:00,809.17,10.487
2024-08-28 09:30:00,809.04,10.329
2024-08-28 10:00:00,808.9,10.177
2024-08-28 10:30:00,808.74,10.034
2024-08-28 11:00:00,808.5,9.894
2024-08-28 11:30:00,808.35,9.763
2024-08-28 12:00:00,808.3,9.626
2024-08-28 12:30:00,808.25,9.485
2024-08-28 13:00:00,808.27,9.36
2024-08-28 13:30:00,808.36,9.24
